candidate_id,oracle_pareto,max_num_seqs,max_num_batched_tokens,chunked_prefill,data_parallel,l0_avg_power_w,l0_energy_j_per_1k_output_tokens,l0_median_gpu_hours,l0_repeat_count,l0_throughput_tok_s,l0_tpot_ms,l0_ttft_ms,l0_vs_l4_energy_j_per_1k_output_tokens_error_pct,l0_vs_l4_throughput_tok_s_error_pct,l0_vs_l4_tpot_ms_error_pct,l0_vs_l4_ttft_ms_error_pct,l1_avg_power_w,l1_energy_j_per_1k_output_tokens,l1_median_gpu_hours,l1_repeat_count,l1_throughput_tok_s,l1_tpot_ms,l1_ttft_ms,l4_avg_power_w,l4_energy_j_per_1k_output_tokens,l4_median_gpu_hours,l4_repeat_count,l4_throughput_tok_s,l4_tpot_ms,l4_ttft_ms,pipeline_parallel,prefix_caching,tensor_parallel
expert-seq256-bt8192-chunk,false,256,8192,true,1,645.4710756366884,364.7049314598086,0.0,1,1769.8446605946729,16.940630681881178,1343.7275424992033,-1.7318816696364043,2.1496398819504186,-1.7934453224279545,0.009492594462890774,622.4195551129759,373.4810791015625,0.005101546974724948,3,1688.08,17.14,1492.4,641.5796936324844,371.13250732421875,0.009434971884167883,3,1732.6,17.25,1343.6,1,,1
seq16-bt2048-chunk,false,16,2048,true,1,614.9511864909232,501.2110329224401,0.0,1,1226.9306661213977,12.451191922925213,886.8789991715206,10.505372854182085,-9.114227270132098,9.412934296355118,-50.63844831237711,597.5479512514723,461.0794677734375,0.005340071641391357,3,1319.97,11.36,2200.2,608.2753872003609,453.5625915527344,0.011135871553055444,3,1349.97,11.38,1796.7,1,,1
seq16-bt4096-chunk,false,16,4096,true,1,614.9511864909232,501.2110329224401,0.0,1,1226.9306661213977,12.451191922925213,709.5031993372165,10.087513531979868,-7.771764228050559,8.271234112393158,-61.655108341410326,599.5510658693223,465.811767578125,0.005359365945001224,3,1310.95,11.55,2254.68,603.6441255393344,455.2841796875,0.011191426793609733,3,1330.32,11.5,1850.32,1,,1
seq16-bt8192-chunk,false,16,8192,true,1,614.9511864909232,501.2110329224401,0.0,1,1226.9306661213977,12.451191922925213,620.8152994200644,10.259176006233531,-8.161810061498558,7.523246311962117,-68.29307248184023,582.0525137778128,459.4388427734375,0.00556205602083436,3,1293.9,11.49,2344.48,605.6312113557816,454.5753479003906,0.011025756873888086,3,1335.97,11.58,1957.98,1,,1
seq32-bt2048-chunk,true,32,2048,true,1,689.7849919306933,495.1873990126817,0.0,1,1392.977675332623,21.93394692610868,2187.249206772628,34.82915661668973,-21.989568088986918,30.870805048381122,107.60556653371694,631.0306762549803,376.33203125,0.004947345523610744,3,1714.26,16.57,1472.79,652.3452520142225,367.270263671875,0.009505161531669727,3,1785.63,16.76,1053.56,1,,1
seq32-bt4096-chunk,false,32,4096,true,1,689.7849919306933,495.1873990126817,0.0,1,1392.977675332623,21.93394692610868,1562.3208619804484,33.58728132730865,-20.702154378095518,26.566341177776575,52.862985986893705,618.4558866934256,375.1141357421875,0.005170874443610956,3,1675.17,17.21,1511.63,648.805131870541,370.6845397949219,0.009374317511946072,3,1756.64,17.33,1022.04,1,,1
seq32-bt8192-chunk,false,32,8192,true,1,689.7849919306933,495.1873990126817,0.0,1,1392.977675332623,21.93394692610868,1249.8566895843587,33.68707399340717,-20.03893785366701,26.129654549216085,-6.589087638125085,614.9875134360979,368.526611328125,0.005119149745559197,3,1688.72,17.15,1500.06,643.2790481937096,370.4078369140625,0.009477662393332543,3,1742.07,17.39,1338.02,1,,1
seq32-bt8192-nochunk,false,32,8192,false,1,689.7849919306933,495.1873990126817,0.0,1,1392.977675332623,21.93394692610868,1562.3208619804484,34.32498221090017,-20.231711104025525,28.193728381698886,19.03578431522373,619.2560459811804,370.8865966796875,0.005086826074443202,3,1691.48,17.07,1442.42,640.23348655756,368.6487731933594,0.009467106393886853,3,1746.28,17.11,1312.48,1,,1
seq8-bt2048-chunk,false,8,2048,true,1,466.23970844782906,519.8009385971692,0.0,1,896.9581888522741,8.515864724724658,485.2574199093711,-16.400015902691692,1.3042758555103473,-0.8630416213660319,-86.48089608044278,543.2210872027217,625.094482421875,0.0062156755174995245,3,876.91,8.59,3811.62,549.3191140181245,621.7715759277344,0.014647380276668022,3,885.41,8.59,3589.42,1,,1
seq8-bt4096-chunk,false,8,4096,true,1,466.23970844782906,519.8009385971692,0.0,1,896.9581888522741,8.515864724724658,424.6002424206997,-15.879792264353428,1.0566020924619857,-1.0933249160899154,-88.1009362192414,546.910380179958,626.426513671875,0.006226054263885695,3,878.75,8.65,3781.98,547.849347646786,617.9263610839844,0.014559215602777032,3,887.58,8.61,3568.35,1,,1
seq8-bt4096-nochunk,false,8,4096,false,1,466.23970844782906,519.8009385971692,0.0,1,896.9581888522741,8.515864724724658,485.2574199093711,-15.712822304164964,0.5772741786113845,-1.0933249160899154,-86.2113007379613,545.2676562526195,623.914794921875,0.006215315381111092,3,882.96,8.6,3742.11,547.958172906183,616.7022705078125,0.014593216970832953,3,891.81,8.61,3519.24,1,,1
seq8-bt8192-chunk,false,8,8192,true,1,466.23970844782906,519.8009385971692,0.0,1,896.9581888522741,8.515864724724658,394.271653676364,-16.371817234502824,1.6821054791042183,-2.341000863249345,-89.41501458657427,535.0907278891036,619.6524658203125,0.006382448973611948,3,869.4,8.71,3837.64,546.7275389633816,621.5619201660156,0.014564839601112503,3,882.12,8.72,3724.82,1,,1
