experiment_id,workload_id,metric,unit,n,mean,median,cv_pct,mad,max,min,sample_sd
workload_transfer_v1,val-c2048-o128-k32,benchmark_duration_s,s,3,18.873333333333335,18.91,0.480772080141869,0.030000000000001137,18.94,18.77,0.09073771725877541
workload_transfer_v1,val-c2048-o128-k32,energy_j,J,3,12184.777666666667,12186.987,0.06198212248542193,3.992000000000189,12190.979,12176.367,7.55238381792967
workload_transfer_v1,val-c2048-o128-k32,failed_requests,,3,0.0,0.0,,0.0,0.0,0.0,0.0
workload_transfer_v1,val-c2048-o128-k32,input_tokens,,3,524288.0,524288.0,0.0,0.0,524288.0,524288.0,0.0
workload_transfer_v1,val-c2048-o128-k32,j_per_output_token,J/token,3,0.3718499043782552,0.37191732788085935,0.06198212248542193,0.00012182617187500577,0.37203915405273436,0.3715932312011719,0.00023048046319365447
workload_transfer_v1,val-c2048-o128-k32,j_per_total_token,J/token,3,0.021873523786956187,0.021877489875344668,0.06198212248542547,7.166245404411492e-06,0.02188465612074908,0.021858425364774815,1.3557674305509859e-05
workload_transfer_v1,val-c2048-o128-k32,mean_e2el_ms,ms,3,2352.3433333333332,2356.33,0.4473213752354323,3.9600000000000364,2360.29,2340.41,10.522534548925677
workload_transfer_v1,val-c2048-o128-k32,mean_itl_ms,ms,3,12.696666666666667,12.63,2.5610393065386625,0.22000000000000064,13.05,12.41,0.3251666239535255
workload_transfer_v1,val-c2048-o128-k32,mean_tpot_ms,ms,3,12.696666666666667,12.63,2.5610393065386625,0.22000000000000064,13.05,12.41,0.3251666239535255
workload_transfer_v1,val-c2048-o128-k32,mean_ttft_ms,ms,3,739.93,756.07,6.818858909182604,24.269999999999982,780.34,683.38,50.45478272671484
workload_transfer_v1,val-c2048-o128-k32,measurement_window_ms,ms,3,18921.42333232914,18922.752341997693,0.456066643598661,84.29310999053996,19007.045451988233,18834.472203001496,86.29430031284743
workload_transfer_v1,val-c2048-o128-k32,output_throughput_tok_s,tokens/s,3,1736.3533333333332,1733.25,0.4945102231597814,3.5,1746.06,1729.75,8.586444743508968
workload_transfer_v1,val-c2048-o128-k32,output_tokens,,3,32768.0,32768.0,0.0,0.0,32768.0,32768.0,0.0
workload_transfer_v1,val-c2048-o128-k32,p50_e2el_ms,ms,3,2339.56,2344.43,0.6802151246457432,8.039999999999964,2352.47,2321.78,15.914040970161949
workload_transfer_v1,val-c2048-o128-k32,p50_itl_ms,ms,3,7.5,7.5,0.0,0.0,7.5,7.5,0.0
workload_transfer_v1,val-c2048-o128-k32,p50_tpot_ms,ms,3,12.566666666666668,12.65,3.117021261140451,0.2599999999999998,12.91,12.14,0.39170567181665006
workload_transfer_v1,val-c2048-o128-k32,p50_ttft_ms,ms,3,750.4466666666667,728.48,7.019177839680038,16.170000000000073,810.55,712.31,52.67518612528419
workload_transfer_v1,val-c2048-o128-k32,p95_e2el_ms,ms,3,2556.556666666667,2550.39,1.481229395286678,28.23999999999978,2597.13,2522.15,37.86846885382792
workload_transfer_v1,val-c2048-o128-k32,p95_itl_ms,ms,3,12.253333333333332,12.34,6.638764422339968,0.6799999999999997,13.02,11.4,0.8134699338840573
workload_transfer_v1,val-c2048-o128-k32,p95_tpot_ms,ms,3,17.30666666666667,17.31,0.08826224373952185,0.010000000000001563,17.32,17.29,0.015275252316519916
workload_transfer_v1,val-c2048-o128-k32,p95_ttft_ms,ms,3,1318.8333333333333,1336.31,3.4747776140870634,17.039999999999964,1353.35,1266.84,45.82652543378489
workload_transfer_v1,val-c2048-o128-k32,p99_e2el_ms,ms,3,2721.15,2659.31,8.203494703992618,123.94999999999982,2968.78,2535.36,223.22939613769515
workload_transfer_v1,val-c2048-o128-k32,p99_itl_ms,ms,3,179.22,179.25,0.7282996289858376,1.259999999999991,180.51,177.9,1.3052585950684181
workload_transfer_v1,val-c2048-o128-k32,p99_tpot_ms,ms,3,17.63,17.62,0.15007097623735685,0.010000000000001563,17.66,17.61,0.02645751311064601
workload_transfer_v1,val-c2048-o128-k32,p99_ttft_ms,ms,3,1481.7633333333333,1476.89,0.5725745028331936,0.0500000000001819,1491.56,1476.84,8.48419903899789
workload_transfer_v1,val-c2048-o128-k32,request_throughput_req_s,requests/s,3,13.563333333333333,13.54,0.5018574061602925,0.02999999999999936,13.64,13.51,0.068068592855541
workload_transfer_v1,val-c2048-o128-k32,successful_requests,,3,256.0,256.0,0.0,0.0,256.0,256.0,0.0
workload_transfer_v1,val-c2048-o128-k32,throughput_tok_s,tokens/s,3,1736.3533333333332,1733.25,0.4945102231597814,3.5,1746.06,1729.75,8.586444743508968
workload_transfer_v1,val-c2048-o128-k32,total_throughput_tok_s,tokens/s,3,29518.046666666665,29465.23,0.4945325082011518,59.39999999999782,29683.08,29405.83,145.97633655265312
workload_transfer_v1,val-c2048-o128-k32,tpot_ms,ms,3,17.30666666666667,17.31,0.08826224373952185,0.010000000000001563,17.32,17.29,0.015275252316519916
workload_transfer_v1,val-c2048-o128-k32,trial_elapsed_ms,ms,3,33936.94174233436,33964.52901400335,0.4805944635514185,119.95883099734783,34084.487845000695,33761.80836799904,163.09906311232925
workload_transfer_v1,val-c2048-o128-k32,ttft_ms,ms,3,1318.8333333333333,1336.31,3.4747776140870634,17.039999999999964,1353.35,1266.84,45.82652543378489
workload_transfer_v1,val-c2048-o128-k8,avg_power_w,W,3,538.2614865385627,538.4941386309146,0.39111635970022035,1.7465868846140893,540.2407255155287,536.0495954692452,2.105228731817918
workload_transfer_v1,val-c2048-o128-k8,benchmark_duration_s,s,3,9.523333333333333,9.51,0.43717171847381275,0.019999999999999574,9.57,9.49,0.041633319989322765
workload_transfer_v1,val-c2048-o128-k8,energy_j,J,3,5152.648666666667,5148.056,0.19667796606935967,2.431999999999789,5164.266,5145.624,10.134124596299982
workload_transfer_v1,val-c2048-o128-k8,failed_requests,,3,0.0,0.0,,0.0,0.0,0.0,0.0
workload_transfer_v1,val-c2048-o128-k8,input_tokens,,3,131072.0,131072.0,0.0,0.0,131072.0,131072.0,0.0
workload_transfer_v1,val-c2048-o128-k8,j_per_output_token,J/token,3,0.6289854329427084,0.6284248046875,0.19667796606935967,0.00029687499999997424,0.630403564453125,0.6281279296875,0.0012370757563842751
workload_transfer_v1,val-c2048-o128-k8,j_per_total_token,J/token,3,0.03699914311427696,0.036966164981617644,0.19667796606935348,1.7463235294112867e-05,0.0370825626148897,0.03694870174632353,7.276916214024918e-05
workload_transfer_v1,val-c2048-o128-k8,mean_e2el_ms,ms,3,1188.9233333333334,1187.52,0.3681569013928517,2.099999999999909,1193.83,1185.42,4.377103303936606
workload_transfer_v1,val-c2048-o128-k8,mean_itl_ms,ms,3,7.303333333333334,7.31,0.4183090547654836,0.020000000000000462,7.33,7.27,0.030550504633039155
workload_transfer_v1,val-c2048-o128-k8,mean_tpot_ms,ms,3,7.303333333333334,7.31,0.4183090547654836,0.020000000000000462,7.33,7.27,0.030550504633039155
workload_transfer_v1,val-c2048-o128-k8,mean_ttft_ms,ms,3,261.6166666666667,262.72,1.9439017998925132,3.339999999999975,266.06,256.07,5.08557109215213
workload_transfer_v1,val-c2048-o128-k8,measurement_window_ms,ms,3,9572.90086033269,9555.580332002137,0.5690840036697661,26.391293009510264,9633.933210003306,9529.189038992627,54.47784748331875
workload_transfer_v1,val-c2048-o128-k8,output_throughput_tok_s,tokens/s,3,860.0966666666667,861.17,0.41205486571394356,1.8100000000000591,862.98,856.14,3.5440701648434385
workload_transfer_v1,val-c2048-o128-k8,output_tokens,,3,8192.0,8192.0,0.0,0.0,8192.0,8192.0,0.0
workload_transfer_v1,val-c2048-o128-k8,p50_e2el_ms,ms,3,1184.1033333333335,1183.47,0.11296499476859022,0.2699999999999818,1185.64,1183.2,1.3376222685547026
workload_transfer_v1,val-c2048-o128-k8,p50_itl_ms,ms,3,6.566666666666666,6.57,0.08792136079030428,0.0,6.57,6.56,0.005773502691896647
workload_transfer_v1,val-c2048-o128-k8,p50_tpot_ms,ms,3,7.213333333333334,7.15,2.941921264768393,0.11000000000000032,7.45,7.04,0.2122105872319601
workload_transfer_v1,val-c2048-o128-k8,p50_ttft_ms,ms,3,293.76666666666665,299.46,6.625947648061456,10.29000000000002,309.75,272.09,19.464825540788535
workload_transfer_v1,val-c2048-o128-k8,p95_e2el_ms,ms,3,1233.8999999999999,1225.23,1.6749464931472107,6.25,1257.49,1218.98,20.66716477894343
workload_transfer_v1,val-c2048-o128-k8,p95_itl_ms,ms,3,6.8,6.77,1.1672432254696699,0.02999999999999936,6.89,6.74,0.07937253933193754
