experiment_id,pair_index,seed,run_order,baseline_id,winner_id,baseline_energy_j_per_1k_output_tokens,baseline_gpu_hours,baseline_throughput_tok_s,baseline_tpot_ms,baseline_ttft_ms,improvement_energy_j_per_1k_output_tokens_pct,improvement_throughput_tok_s_pct,improvement_tpot_ms_pct,improvement_ttft_ms_pct,winner_energy_j_per_1k_output_tokens,winner_gpu_hours,winner_throughput_tok_s,winner_tpot_ms,winner_ttft_ms
winner_confirmation_v1,0,100,"[""expert-seq256-bt8192-chunk"",""seq32-bt2048-chunk""]",expert-seq256-bt8192-chunk,seq32-bt2048-chunk,371.0446472167969,0.009551631253335573,1727.44,17.26,1338.54,1.0190328638057453,3.237160190802566,2.7809965237543475,19.05957236989555,367.2635803222656,0.009455563865275407,1783.36,16.78,1083.42
winner_confirmation_v1,1,101,"[""seq32-bt2048-chunk"",""expert-seq256-bt8192-chunk""]",expert-seq256-bt8192-chunk,seq32-bt2048-chunk,372.6044921875,0.009684180294999453,1726.38,17.21,1317.37,1.6303364985178759,3.6284016265248593,4.299825682742603,25.609358039123396,366.52978515625,0.00950973502666683,1789.02,16.47,980.0
winner_confirmation_v1,2,102,"[""expert-seq256-bt8192-chunk"",""seq32-bt2048-chunk""]",expert-seq256-bt8192-chunk,seq32-bt2048-chunk,373.3005676269531,0.009645684216666268,1705.04,17.3,1340.92,1.377172085115873,4.663233707127105,3.0635838150289083,25.450437013393792,368.1595764160156,0.00953057808778087,1784.55,16.77,999.65
winner_confirmation_v1,3,103,"[""seq32-bt2048-chunk"",""expert-seq256-bt8192-chunk""]",expert-seq256-bt8192-chunk,seq32-bt2048-chunk,372.15313720703125,0.009598088092227246,1735.73,17.35,1348.33,1.6458114556848156,2.709522794443835,3.4005763688760795,20.629222816372838,366.0281982421875,0.00949669958444752,1782.76,16.76,1070.18
winner_confirmation_v1,4,104,"[""expert-seq256-bt8192-chunk"",""seq32-bt2048-chunk""]",expert-seq256-bt8192-chunk,seq32-bt2048-chunk,372.2091979980469,0.009648788503335608,1731.09,17.29,1345.46,1.2726958629533873,3.039703308320198,2.949681897050307,21.431332035140407,367.47210693359375,0.009477651415557679,1783.71,16.78,1057.11
