experiment_id,budget_gpu_hours,policy,episode_count,success_rate,exploration_budget_gpu_hours,mean_best_primary_regret_pct,mean_exploration_gpu_hours,mean_failed_action_count,mean_oracle_pareto_precision,mean_oracle_pareto_recall,mean_spent_gpu_hours,mean_unnecessary_l4_verifications,median_first_oracle_hit_gpu_hours
policy_benchmark_v1,0.12,cheapest-first,500,0.334,,0.4744971878014197,0.04170042398101181,0.0,0.334,0.334,0.05748199166972758,1.334,0.06076123089251066
policy_benchmark_v1,0.12,cost-blind,500,0.334,,0.4744971878014197,0.06670779636762476,0.0,0.334,0.334,0.08248936405634054,1.334,0.08575702593167078
policy_benchmark_v1,0.12,ipig,500,0.334,,0.4744971878014197,0.04423348811227712,0.0,0.334,0.334,0.060015055800992895,1.334,0.0632758107625058
policy_benchmark_v1,0.12,random,500,0.294,,0.5963579851349995,0.05551271254709055,0.0,0.294,0.294,0.06962960823677525,1.198,0.07492306501444544
policy_bootstrap_v2,0.12,cheapest-first,500,0.636,,0.2531612056856865,0.041702635224539646,0.0,0.636,0.636,0.059608054017107594,1.254,0.0606518673615311
policy_bootstrap_v2,0.12,cost-blind,500,0.636,,0.2531612056856865,0.06670897530684923,0.0,0.636,0.636,0.08461439409941718,1.254,0.08566633952430291
policy_bootstrap_v2,0.12,ipig,500,0.636,,0.2531612056856865,0.04422925656987069,0.0,0.636,0.636,0.06213467536243864,1.254,0.0631841499651374
policy_bootstrap_v2,0.12,random,500,0.462,,0.44970257701222927,0.055507639722391186,0.0,0.462,0.462,0.07121102219993511,1.196,0.07508387749388931
budget_sweep_v1,0.04,cheapest-first,500,0.0,0.0,1.0516080484518449,0.0,0.0,0.0,0.0,0.009463578027693164,1.0,
budget_sweep_v1,0.04,cost-blind,500,0.0,0.0,1.0516080484518449,0.0,0.0,0.0,0.0,0.009463578027693164,1.0,
budget_sweep_v1,0.04,ipig,500,0.0,0.0,1.0516080484518449,0.0,0.0,0.0,0.0,0.009463578027693164,1.0,
budget_sweep_v1,0.04,random,500,0.0,0.0,1.0516080484518449,0.0,0.0,0.0,0.0,0.009463578027693164,1.0,
budget_sweep_v1,0.06,cheapest-first,500,0.0,0.019999999999999997,1.0516080484518449,0.010447402001111728,0.0,0.0,0.0,0.01991098002880489,1.0,
budget_sweep_v1,0.06,cost-blind,500,0.0,0.019999999999999997,0.5646945269649992,0.010192101314689547,0.0,0.0,0.0,0.02202283045286211,1.25,
budget_sweep_v1,0.06,ipig,500,0.0,0.019999999999999997,1.0516080484518449,0.010263180003043486,0.0,0.0,0.0,0.01972675803073665,1.0,
budget_sweep_v1,0.06,random,500,0.012,0.019999999999999997,1.028093169159345,0.011144434798399064,0.0,0.012,0.012,0.020854085011472796,1.014,0.028984997195695743
budget_sweep_v1,0.08,cheapest-first,500,0.76,0.04,0.23652954885833577,0.03149228638688236,0.0,0.76,0.76,0.04938518524169895,1.13,0.050438495507086276
budget_sweep_v1,0.08,cost-blind,500,0.636,0.04,0.2531612056856865,0.03181354174960224,0.0,0.636,0.636,0.0497189605421702,1.254,0.05076675352472699
budget_sweep_v1,0.08,ipig,500,0.636,0.04,0.2531612056856865,0.03164146640863628,0.0,0.636,0.636,0.049546885201204226,1.254,0.05058794042236413
budget_sweep_v1,0.08,random,500,0.182,0.04,0.7727101570856036,0.03322680473268343,0.0,0.182,0.182,0.045307775607038955,1.094,0.05180242453972217
budget_sweep_v1,0.1,cheapest-first,500,0.636,0.060000000000000005,0.2531612056856865,0.041702635224539646,0.0,0.636,0.636,0.059608054017107594,1.254,0.0606518673615311
budget_sweep_v1,0.1,cost-blind,500,0.636,0.060000000000000005,0.2531612056856865,0.05044208107497811,0.0,0.636,0.636,0.06834749986754605,1.254,0.06939518229249694
budget_sweep_v1,0.1,ipig,500,0.636,0.060000000000000005,0.2531612056856865,0.04422925656987069,0.0,0.636,0.636,0.06213467536243864,1.254,0.0631841499651374
budget_sweep_v1,0.1,random,500,0.392,0.060000000000000005,0.5284633649729217,0.05160646357088272,0.0,0.392,0.392,0.06645650491695994,1.176,0.07008439084500424
budget_sweep_v1,0.12,cheapest-first,500,0.636,0.07999999999999999,0.2531612056856865,0.041702635224539646,0.0,0.636,0.636,0.059608054017107594,1.254,0.0606518673615311
budget_sweep_v1,0.12,cost-blind,500,0.636,0.07999999999999999,0.2531612056856865,0.06670897530684923,0.0,0.636,0.636,0.08461439409941718,1.254,0.08566633952430291
budget_sweep_v1,0.12,ipig,500,0.636,0.07999999999999999,0.2531612056856865,0.04422925656987069,0.0,0.636,0.636,0.06213467536243864,1.254,0.0631841499651374
budget_sweep_v1,0.12,random,500,0.462,0.07999999999999999,0.44970257701222927,0.055507639722391186,0.0,0.462,0.462,0.07121102219993511,1.196,0.07508387749388931
